               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.053077,            0.022134,            0.064423,             0.44758,             0.26974,             0.32799,              0.1869,            0.027079,           0.0070768,            0.038475,           0.0033311,           0.0033311,             0.07002
                   1,            0.041496,            0.019317,            0.047949,             0.52827,             0.57635,             0.53352,             0.30356,            0.027218,           0.0066835,             0.02355,           0.0062246,           0.0062246,             0.03958
                   2,            0.041193,             0.01931,            0.042158,              0.4493,             0.47836,              0.4862,             0.26003,            0.030353,            0.007337,             0.02447,           0.0086781,           0.0086781,           0.0087001
                   3,            0.039832,            0.020998,            0.042553,             0.54526,             0.51463,             0.53628,             0.28769,            0.028399,           0.0074911,            0.020337,             0.00802,             0.00802,             0.00802
                   4,             0.03811,            0.020215,            0.038643,             0.61075,             0.59447,             0.61806,             0.34228,            0.028222,           0.0073762,            0.015965,             0.00802,             0.00802,             0.00802
                   5,            0.036427,            0.020136,             0.03743,             0.64022,             0.64136,             0.65267,              0.3622,            0.025937,           0.0070972,            0.014724,             0.00736,             0.00736,             0.00736
                   6,            0.035186,            0.019586,            0.035291,             0.64821,             0.63928,             0.67521,             0.38548,            0.026288,            0.007091,            0.012537,              0.0067,              0.0067,              0.0067
                   7,            0.034234,            0.019481,            0.032252,              0.6784,             0.69524,             0.70788,             0.41874,            0.025052,           0.0069975,            0.011022,             0.00604,             0.00604,             0.00604
                   8,             0.03294,            0.019049,             0.02995,             0.65977,             0.70448,             0.71268,             0.43785,            0.024131,           0.0068546,            0.010488,             0.00538,             0.00538,             0.00538
                   9,            0.031883,            0.018902,            0.027845,             0.67035,             0.74099,             0.71741,             0.45475,            0.024306,           0.0065299,           0.0096181,             0.00472,             0.00472,             0.00472
                  10,            0.031288,            0.018464,            0.027741,             0.70198,             0.72131,             0.73903,               0.465,            0.023645,           0.0066204,           0.0098787,             0.00406,             0.00406,             0.00406
                  11,            0.030142,            0.018173,            0.026579,             0.70883,             0.74218,             0.75499,             0.47832,            0.022222,           0.0066034,           0.0080673,              0.0034,              0.0034,              0.0034
                  12,             0.02949,            0.018137,            0.024306,               0.749,             0.76229,             0.79309,             0.51542,            0.021976,           0.0062373,           0.0073579,             0.00274,             0.00274,             0.00274
                  13,            0.028452,            0.017705,            0.022622,             0.74131,             0.78863,             0.80287,             0.52449,            0.021641,           0.0061465,           0.0073765,             0.00208,             0.00208,             0.00208
                  14,            0.027894,            0.017712,            0.022243,              0.7466,             0.78055,              0.7951,             0.52361,            0.021382,           0.0061412,           0.0062301,             0.00142,             0.00142,             0.00142
